,publisher,author,isbn,date,title,weeks_on_list,no_of_words_title
1738,Putnam,Stuart Woods,None,2014-11-02,PARIS MATCH,0,2
1739,"Little, Brown",Elin Hilderbrand,None,2014-11-02,WINTER STREET,0,2
1740,Grand Central Publishing,Jill Shalvis,None,2014-11-02,ONE IN A MILLION,0,4
1741,Kelley R. Martin,Kelley R Martin,None,2014-11-02,DOWN AND OUT,0,3
1742,Dell,Diana Gabaldon,0440335183,2014-11-02,DRAGONFLY IN AMBER,0,3
1743,Avon,Maya Banks,0062312472,2014-10-26,KEEP ME SAFE,0,3
1744,"Farrar, Straus & Giroux",Marilynne Robinson,0374187614,2014-10-26,LILA,0,1
1745,Jessica Sorensen,Jessica Sorensen,None,2014-10-19,THE RESOLUTION OF CALLIE AND KAYDEN,0,6
1746,Broadway,Gillian Flynn,None,2014-10-19,THE COMPLETE GILLIAN FLYNN,0,4
1747,Gossamer,Melody Anne,None,2014-10-19,HOLIDAY TREASURE,0,2
1748,HTJB,Marie Force,None,2014-10-19,KISSES AFTER DARK,0,3
1749,Morrow,J Lynn,0062294814,2014-10-12,STAY WITH ME,0,3
1750,Putnam,J D Robb,1101617276,2014-10-12,FESTIVE IN DEATH,0,3
1751,Doubleday,John Grisham,0345543246,2014-10-12,SYCAMORE ROW,0,2
1752,Plume,Jonathan Tropper,None,2014-10-12,THIS IS WHERE I LEAVE YOU,0,6
1753,Victoria Ashley,Victoria Ashley,None,2014-10-05,HEMY,0,1
1754,Riverhead,Sarah Waters,None,2014-10-05,THE PAYING GUESTS,0,3
1755,Putnam,Clive Cussler and Russell Blake,None,2014-09-28,THE EYE OF HEAVEN,0,4
1756,Bantam,J Kenner,080417671X,2014-09-28,IGNITED,0,1
1757,Morrow,Faye Kellerman,None,2014-09-21,MURDER 101,0,2
1758,Ace,Patricia Briggs,1101609508,2014-09-21,SHIFTING SHADOWS,0,2
1759,Grand Central,Jill Shalvis,1455529516,2014-09-14,IT'S IN HIS KISS,0,4
1760,Morrow,Susan Elizabeth Phillips,0062106112,2014-09-14,HEROES ARE MY WEAKNESS,0,4
1761,Deborah Bladon,Deborah Bladon,None,2014-09-14,VAIN - PART THREE,0,4
1762,Delacorte,Lee Child,0804178836,2014-09-14,NOT A DRILL,0,3
1763,Knopf,Paulo Coelho,1101874082,2014-09-07,ADULTERY,0,1
1764,Morrow/HarperCollins,James Rollins,0062194925,2014-09-07,THE 6TH EXTINCTION,0,3
1765,Avon Impulse,Laura Kaye,None,2014-09-07,HARD TO HOLD ON TO,0,5
1766,Ballantine,Debbie Macomber,None,2014-09-07,LOVE LETTERS,0,2
1767,Del Rey,Robin Hobb,0553392433,2014-08-31,FOOL'S ASSASSIN,0,2
1768,Atria,Colleen Hoover,None,2014-08-31,UGLY LOVE,0,2
1769,Angela Graham,Angela Graham,None,2014-08-31,INDESTRUCTIBLE,0,1
1770,Putnam,W E B Griffin and William E Butterworth IV,None,2014-08-24,TOP SECRET,0,2
1771,Emily Bestler/Atria,Brad Thor,None,2014-08-24,ACT OF WAR,0,3
1772,Delacorte,Danielle Steel,0345530969,2014-08-17,A PERFECT LIFE,0,3
1773,Putnam,Mark Greaney,039917334X,2014-08-17,TOM CLANCY: SUPPORT AND DEFEND,0,5
1774,Pocket,Sandra Brown,0743290062,2014-08-10,CHILL FACTOR,0,2
1775,Putnam,Catherine Coulter,None,2014-08-10,POWER PLAY,0,2
1776,Uncommonly Romantic Books,Opal Carew and others,None,2014-08-10,MASTERED,0,1
1777,Dutton,Brad Taylor,None,2014-08-03,DAYS OF RAGE,0,3
1778,Atria,Jennifer Weiner,1451617801,2014-08-03,ALL FALL DOWN,0,3
1779,Putnam,C J Box,None,2014-08-03,SHOTS FIRED,0,2
1780,Delacorte,Diana Gabaldon,044024644X,2014-07-27,WRITTEN IN MY OWN HEART'S BLOOD,0,6
1781,Pamela Dorman/Viking,Jojo Moyes,None,2014-07-27,ONE PLUS ONE,0,3
1782,"Mulholland/Little, Brown",Robert Galbraith,0316206865,2014-07-27,THE CUCKOO'S CALLING,0,3
1783,Ace,Anthony Ryan,None,2014-07-20,TOWER LORD,0,2
1784,Deborah Bladon,Deborah Bladon,None,2014-07-20,PULSE - PART FOUR,0,4
1785,Ballantine,Jude Deveraux,0345541839,2014-07-20,FOR ALL TIME,0,3
1786,Harlequin Mira,Ron Carr,None,2014-07-20,THE PROMISE,0,2
1787,Ampersand,Kristen Pro,1633500012,2014-07-13,BREATHE WITH ME,0,3
1788,Violet Duke,Violet Duke,None,2014-07-13,"LOVE, LAUGHTER, AND HAPPILY EVER AFTERS COLLECTION",0,7
1789,Ballantine,Emily Giffin,034554689X,2014-07-06,THE ONE AND ONLY,0,4
1790,Dutton,Linda Fairstein,None,2014-07-06,TERMINAL CITY,0,2
1791,Putnam,John Sandford,None,2014-07-06,FIELD OF PREY,0,3
1792,Morrow/HarperCollins,J A Jance,0062134698,2014-07-06,SECOND WATCH,0,2
1793,Gallery,Johanna Lindsey,1476714312,2014-06-29,STORMY PERSUASION,0,2
1794,Putnam,Clive Cussler and Graham Brown,None,2014-06-29,GHOST SHIP,0,2
1795,Riverhead,Emma Straub,1101618043,2014-06-29,THE VACATIONERS,0,2
1796,Morrow/HarperCollins,Dorothea Benton Frank,0062132520,2014-06-29,THE HURRICANE SISTERS,0,3
1797,Morrow/HarperCollins,Greg Iles,0062311107,2014-06-29,NATCHEZ BURNING,0,2
1798,Simon & Schuster,edited  David Baldacci,None,2014-06-22,FACEOFF,0,1
1799,Berkley,Marie Force,None,2014-06-22,I WANT TO HOLD YOUR HAND,0,6
1800,Harlequin HQN,Linda Lael Miller,1460332962,2014-06-15,THE MARRIAGE PACT,0,3
1801,Ballantine,Steve Berry,None,2014-06-15,THE LINCOLN MYTH,0,3
1802,St. Martin's,Darynda Jones,1466845260,2014-06-08,SIXTH GRAVE ON THE EDGE,0,5
1803,Grand Central,Jeffery Deaver,1455517119,2014-06-08,THE SKIN COLLECTOR,0,3
1804,Viking,Sue Monk Kidd,None,2014-06-08,THE INVENTION OF WINGS,0,4
1805,S.L. Jennings,SL Jennings,None,2014-06-08,TAINT,0,1
1806,Lauren Blakely,Lauren Blakely,None,2014-06-01,AFTER THIS NIGHT,0,3
1807,Roc,Jim Butcher,None,2014-06-01,FOOL MOON,0,2
1808,Roc,Jim Butcher,None,2014-06-01,GRAVE PERIL,0,2
1809,Putnam,Ace Atkins,None,2014-05-25,ROBERT B. PARKER'S CHEAP SHOT,0,5
1810,Ace,Charlaine Harris,1101598794,2014-05-25,MIDNIGHT CROSSROAD,0,2
1811,Simon & Schuster,Mary Higgins Clark,1476749108,2014-05-18,I'VE GOT YOU UNDER MY SKIN,0,6
1812,Stacy Borel,Stacy Borel,None,2014-05-18,BENDER,0,1
1813,Laurelin Paige,Laurelin Paige,0991379640,2014-05-18,THE FIXED TRILOGY,0,3
1814,Berkley,Nora Roberts,None,2014-05-11,SHADOW SPELL,0,2
1815,HarperCollins Publishers,Barbara Kingsolver,0062124285,2014-05-11,FLIGHT BEHAVIOR,0,2
1816,Putnam,Stuart Woods,None,2014-05-11,CARNAL CURIOSITY,0,2
1817,Lauren Blakely,Lauren Blakely,None,2014-05-04,NIGHT AFTER NIGHT,0,3
1818,J.B. Salsbury,JB Salsbury,None,2014-05-04,FIGHTING TO FORGET,0,3
1819,Open Road Media,Michael Ponsor,1480441929,2014-05-04,THE HANGING JUDGE,0,3
1820,Black Oak Books,Shayla Black and Lexi Blake,None,2014-05-04,THEIR VIRGIN SECRETARY,0,3
1821,Touchstone,Philippa Gregory,0743298543,2014-04-27,THE BOLEYN INHERITANCE,0,3
1822,New American Library,J R Ward,None,2014-04-27,THE KING,0,2
1823,WGW,Whitney Gracia Williams,0990317005,2014-04-27,REASONABLE DOUBT,0,2
1824,Atlantic Monthly Press,Donna Leon,0802192505,2014-04-20,BY ITS COVER,0,3
1825,Morrow,Ted Bell,0062279408,2014-04-20,WARRIORS,0,1
1826,Delacorte,Danielle Steel,None,2014-04-20,POWER PLAY,0,2
1827,Minotaur,Nevada Barr,1466841680,2014-04-20,DESTROYER ANGEL,0,2
1828,St. Martin's Griffin,Kylie Scott,None,2014-04-20,PLAY,0,1
1829,Harlequin HQN,Lori Foster,1460328639,2014-04-13,DASH OF PERIL,0,3
1830,Harlequin HQN,Kristan Higgins,None,2014-04-13,WAITING ON YOU,0,3
1831,Silhouette,Nora Roberts,None,2014-04-13,THE RETURN OF RAFE MACKADE,0,5
1832,Tyndale,Joel C Rosenberg,None,2014-04-06,THE AUSCHWITZ ESCAPE,0,3
1833,InterMix,Jennifer Ashley,None,2014-04-06,FERAL HEAT,0,2
1834,Grand Central Publishing,David Baldacci,1455557285,2014-04-06,BULLSEYE,0,1
1835,Ace,Patricia Briggs,None,2014-04-06,NIGHT BROKEN,0,2
1836,Putnam,Clive Cussler and Justin Scott,0698140737,2014-04-06,THE BOOTLEGGER,0,2
1837,Harlequin Mira,Ron Carr,None,2014-03-30,THE CHANCE,0,2
1838,Random House,Anna Quindlen,0812995759,2014-03-30,STILL LIFE WITH BREAD CRUMBS,0,5
1839,Excessica,Skye Eagleday,None,2014-03-30,"FATED MATES, THE ALPHA SHIFTER BOXED SET",0,7
1840,Putnam,J D Robb,None,2014-03-30,CONCEALED IN DEATH,0,3
1841,Tawny Weber,Tawny Weber,None,2014-03-23,LUCKY 7 BAD BOYS CONTEMPORARY ROMANCE BOXED SET,0,8
1842,Rachel Van Dyken,Rachel Van Dyken,None,2014-03-23,TOXIC,0,1
1843,Steel Magnolia Press,"Diane Capri, J Carson Black and others",None,2014-03-23,DEADLY DOZEN,0,2
1844,Putnam,Randy Wayne White,None,2014-03-23,BONE DEEP,0,2
1845,Raine Miller,Raine Miller,None,2014-03-16,RARE AND PRECIOUS THINGS,0,4
1846,Avon,Laura Kaye,0062267914,2014-03-16,HARD AS YOU CAN,0,4
1847,Harlequin Mira,Susan Mallery,1460327047,2014-03-16,EVENING STARS,0,2
1848,Signet,Lisa Gardner,None,2014-03-16,TOUCH AND GO,0,3
1849,Helen Cooper,JS Cooper and Helen Cooper,None,2014-03-09,THE EX GAMES 2,0,4
1850,Mariner,Mark Helprin,0547543867,2014-03-09,WINTER'S TALE,0,2
1851,Helen Cooper,JS Cooper and Helen Cooper,None,2014-03-09,THE EX GAMES 3,0,4
1852,Tor/Tom Doherty,Orson Scott Card,142996393X,2014-03-09,ENDER'S GAME,0,2
1853,"Little, Brown",James Patterson and Emily Raymond,0316207020,2014-03-02,FIRST LOVE,0,2
1854,Entangled: Brazen,Tessa Bailey,None,2014-02-23,STAKING HIS CLAIM,0,3
1855,Berkley,Jaci Burton,None,2014-02-23,MELTING THE ICE,0,3
1856,Putnam,Tom Clancy with Mark Greaney,None,2014-02-16,COMMAND AUTHORITY,0,2
1857,Dutton,Lisa Gardner,None,2014-02-16,FEAR NOTHING,0,2
1858,Kensington,Joanne Fluke,None,2014-02-09,CHOCOLATE CHIP COOKIE MURDER,0,4
1859,St. Martin's Press,Sarah Addison Allen,1250019818,2014-02-09,LOST LAKE,0,2
1860,"Little, Brown",Michael Connelly,0316069507,2014-02-09,THE GODS OF GUILT,0,4
1861,Putnam,Stuart Woods,None,2014-02-09,STANDUP GUY,0,2
1862,Harper,Mitch Albom,0062294377,2014-02-02,THE FIRST PHONE CALL FROM HEAVEN,0,6
1863,"Little, Brown",Michael Connelly,None,2014-02-02,SWITCHBLADE,0,1
1864,Bantam,Janet Evanovich,0345542908,2014-02-02,TAKEDOWN TWENTY,0,2
1865,Laurelin Paige,Laurelin Paige,None,2014-02-02,FOREVER WITH YOU,0,3
1866,Bantam,Dean Koontz,0345539656,2014-01-26,INNOCENCE,0,1
1867,Morrow,J Lynn,0062294768,2014-01-26,WAIT FOR YOU,0,3
1868,Forever,Jessica Sorensen,None,2014-01-26,THE DESTINY OF VIOLET & LUKE (CALLIE & KAYDEN),0,9
1869,Scribner,Stephen King,147672766X,2014-01-19,DOCTOR SLEEP,0,2
1870,Morrow,Joe Hill,0062200593,2014-01-19,NOS4A2,0,1
1871,Berkley,Nora Roberts,None,2014-01-19,DARK WITCH,0,2
1872,Riverhead,Khaled Hosseini,None,2014-01-12,AND THE MOUNTAINS ECHOED,0,4
1873,Dutton,Harlan Coben,None,2014-01-12,SIX YEARS,0,2
1874,Putnam,Patricia Cornwell,None,2014-01-05,DUST,0,1
1875,Random House,George R R Martin,0553582011,2014-01-05,A DANCE WITH DRAGONS,0,4
1876,Doubleday,John Grisham,0345530578,2014-01-05,THE RACKETEER,0,2
1877,Laree Bailey Press,H M Ward,None,2013-12-29,THE ARRANGEMENT 12,0,3
1878,Bantam,George R R Martin,0345535537,2013-12-22,A GAME OF THRONES: FIVE-BOOK SET,0,6
1879,Avon,Sarah MacLean,None,2013-12-15,NO GOOD DUKE GOES UNPUNISHED,0,5
1880,Berkley,Kay Hooper,None,2013-12-15,HOSTAGE,0,1
1881,Kelly Elliott,Kelly Elliott,None,2013-12-15,BROKEN,0,1
1882,"HTJB, Inc.",Marie Force,None,2013-12-08,MEANT FOR LOVE,0,3
1883,Putnam,Clive Cussler with Jack Du Brul,None,2013-12-08,MIRAGE,0,1
1884,Nicole Edwards,Nicole Edwards,None,2013-12-08,HOLIDAYS WITH THE WALKER BROTHERS,0,5
1885,Oak Press,Bella Andre,None,2013-12-08,IT MUST BE YOUR LOVE,0,5
1886,Simon & Schuster,Martin Cruz Smith,1439153183,2013-12-01,TATIANA,0,1
1887,Random House,Fannie Flagg,1400065941,2013-12-01,THE ALL-GIRL FILLING STATION'S LAST REUNION,0,6
1888,Algonquin Books,Caroline Leavitt,None,2013-12-01,IS THIS TOMORROW,0,3
1889,Harper,Wally Lamb,None,2013-12-01,WE ARE WATER,0,3
1890,Forever,Kristen Ashley,None,2013-11-24,JAGGED,0,1
1891,Delacorte,Danielle Steel,0345539680,2013-11-24,WINNERS,0,1
1892,Berkley,Jill Shalvis,None,2013-11-24,RUMOR HAS IT,0,3
1893,Grand Central,Scott Turow,None,2013-11-24,IDENTICAL,0,1
1894,Laree Bailey Press,H M Ward,1630350028,2013-11-17,THE ARRANGEMENT 11,0,3
1895,Jove,Nalini Singh,None,2013-11-17,ARCHANGEL'S LEGION,0,2
1896,Putnam,John Sandford,None,2013-11-17,STORM FRONT,0,2
1897,Harlequin HQN,Kristan Higgins,None,2013-11-17,THE PERFECT MATCH,0,3
1898,William Morrow Impulse,J Lynn,None,2013-11-10,TRUST IN ME,0,3
1899,Forever,Rachel Van Dyken,None,2013-11-10,THE WAGER,0,2
1900,Knopf,Helen Fielding,0385350872,2013-11-10,BRIDGET JONES: MAD ABOUT THE BOY,0,6
1901,Viking,Elizabeth Gilbert,None,2013-11-03,THE SIGNATURE OF ALL THINGS,0,5
1902,"Little, Brown",Eleanor Catton,None,2013-11-03,THE LUMINARIES,0,2
1903,Putnam,Stuart Woods,None,2013-11-03,DOING HARD TIME,0,3
1904,Marian Wood/Putnam,Sue Grafton,1101636459,2013-10-27,W IS FOR WASTED,0,4
1905,Kathleen Brooks,Kathleen Brooks,0988210886,2013-10-27,SECRETS COLLIDE,0,2
1906,Touchstone,Lee Child,1451684789,2013-10-27,INHERIT THE DEAD,0,3
1907,Knopf,Jhumpa Lahiri,0385350406,2013-10-27,THE LOWLAND,0,2
1908,Center Street,Nelson DeMille,1455576425,2013-10-20,THE QUEST,0,2
1909,Grand Central,Sandra Brown,None,2013-10-20,DEADLINE,0,1
1910,Putnam,J D Robb,None,2013-10-20,THANKLESS IN DEATH,0,3
1911,Putnam,Catherine Coulter and JT Ellison,None,2013-10-20,THE FINAL CUT,0,3
1912,Harlequin HQN,Lori Foster,1460319559,2013-10-13,GETTING ROWDY,0,2
1913,Laree Bailey Press,HM Ward,None,2013-10-13,THE ARRANGEMENT 10,0,3
1914,Jove,JD Robb and others,None,2013-10-13,"MIRROR, MIRROR",0,2
1915,Putnam,Clive Cussler and Thomas Perry,None,2013-10-06,THE MAYAN SECRETS,0,3
1916,Penguin,A S A Harrison,None,2013-09-29,THE SILENT WIFE,0,3
1917,Gallery,Lisa Renee Jones,1476727244,2013-09-29,REVEALING US,0,2
1918,Gallery Books,Christina Lauren,None,2013-09-22,BEAUTIFUL BOMBSHELL,0,2
1919,Grand Central Publishing,Sandra Brown,145554647X,2013-09-22,ENVY,0,1
1920,Delacorte,Lee Child,None,2013-09-22,HIGH HEAT,0,2
1921,Forever,Jessica Sorensen,1455582727,2013-09-22,BREAKING NOVA,0,2
1922,Rachel Van Dyken,Rachel Van Dyken,None,2013-09-15,RUIN,0,1
1923,Indie Six,Elisabeth Naughton and others,0988986221,2013-09-15,WICKED FIRSTS,0,2
1924,Harper,Daniel Silva,0062073206,2013-09-08,THE ENGLISH GIRL,0,3
1925,Putnam,Frederick Forsyth,None,2013-09-08,THE KILL LIST,0,3
1926,Hugh Howey,Hugh Howey,None,2013-09-08,DUST,0,1
1927,Kristen Ashley,Kristen Ashley,None,2013-09-01,ROCK CHICK REVOLUTION,0,3
1928,"Little, Brown",James Patterson and Howard Roughan,0316211192,2013-09-01,SECOND HONEYMOON,0,2
1929,Seth Clarke,Jasinda Wilder,None,2013-09-01,STRIPPED,0,1
1930,Emily Bestler/Atria,Brad Thor,1476717117,2013-09-01,HIDDEN ORDER,0,2
1931,Algonquin,Irene Zatko,None,2013-08-25,THE SKY UNWASHED,0,3
1932,Forever,Jessica Sorensen,None,2013-08-25,THE REDEMPTION OF CALLIE AND KAYDEN,0,6
1933,Morrow/HarperCollins,Faye Kellerman,0062121774,2013-08-25,THE BEAST,0,2
1934,"Little, Brown & Company",J K Rowling,0316228583,2013-08-25,THE CASUAL VACANCY,0,3
1935,Morrow/HarperCollins,Neil Gaiman,None,2013-08-18,THE OCEAN AT THE END OF THE LANE,0,8
1936,Laree Bailey Press,H M Ward,0985547367,2013-08-18,THE ARRANGEMENT 9: THE FERRO FAMILY,0,6
1937,Grand Central,Sandra Brown,1455546445,2013-08-11,THE WITNESS,0,2
1938,S.L. Jennings,SL Jennings,None,2013-08-11,FEAR OF FALLING,0,3
1939,Knopf,Carl Hiaasen,None,2013-08-11,BAD MONKEY,0,2
1940,Berkley,Sylvia Day,None,2013-08-04,ENTWINED WITH YOU,0,3
1941,Spencer Hill Contemporary,J Lynn,1939392748,2013-08-04,FRIGID,0,1
1942,Golden Unicorn,J S Scott,1939962013,2013-08-04,THE BILLIONAIRE'S OBSESSION,0,3
1943,Touchstone,J A Jance,1451628706,2013-08-04,DEADLY STAKES,0,2
1944,J.C. Reed,JC Reed,None,2013-07-28,SURRENDER YOUR LOVE,0,3
1945,Laree Bailey,H M Ward,0985547340,2013-07-21,DAMAGED 2,0,2
1946,Vintage,Jo Nesbo,None,2013-07-21,THE BAT,0,2
1947,J.C. Reed,JC Reed,None,2013-07-21,CONQUER YOUR LOVE,0,3
1948,"Reagan Arthur/Little, Brown",Elin Hilderbrand,0316227188,2013-07-21,BEAUTIFUL DAY,0,2
1949,Zebra,Fern Michaels,None,2013-07-14,GOTCHA!,0,1
1950,Avon,Stephanie Laurens,None,2013-07-14,THE TAMING OF RYDER CAVANAUGH,0,5
1951,"Little, Brown",Michael Connelly,0759514712,2013-07-07,THE LINCOLN LAWYER,0,3
1952,Scribner,Jeannette Walls,None,2013-07-07,THE SILVER STAR,0,3
1953,Simon & Schuster,Lauren Weisberger,1439146950,2013-07-07,REVENGE WEARS PRADA,0,3
1954,Threshold Editions,Glenn Beck,1451635834,2013-06-30,THE EYE OF MOLOCH,0,4
1955,Grand Central,Jeffery Deaver,1455517070,2013-06-30,THE KILL ROOM,0,3
1956,"Little, Brown",James Patterson and Maxine Paetro,None,2013-06-30,12TH OF NEVER,0,3
1957,Putnam,John Sandford,None,2013-06-30,SILKEN PREY,0,2
1958,Harlequin Mira,Sherryl Woods,0778314464,2013-06-23,SEA GLASS ISLAND,0,3
1959,Putnam,Clive Cussler and Graham Brown,None,2013-06-23,ZERO HOUR,0,2
1960,Bantam,Janet Evanovich and Lee Goldberg,None,2013-06-16,PROS AND CONS,0,3
1961,Ace,Charlaine Harris,None,2013-06-16,DEAD EVER AFTER,0,3
1962,Harlequin HQN,Susan Mallery,None,2013-06-16,JUST ONE KISS,0,3
1963,Ballantine,Meg Waite Clayton,0345507843,2013-06-09,THE WEDNESDAY SISTERS,0,3
1964,Cassia Leo,Cassia Leo,None,2013-06-09,PIECES OF YOU,0,3
1965,Morrow,Molly McAdams,None,2013-06-09,STEALING HARPER,0,2
1966,Grand Central,Sandra Brown,1455546313,2013-06-09,FRENCH SILK,0,2
1967,M. Leighton,M Leighton,None,2013-06-02,UNTIL I BREAK,0,3
1968,Grand Central,Nicholas Sparks,0446574244,2013-06-02,SAFE HAVEN,0,2
1969,Katy Evans,Katy Evans,None,2013-05-26,REAL,0,1
1970,Simon & Schuster,Mary Higgins Clark,1451668961,2013-05-26,DADDY'S GONE A HUNTING,0,4
1971,St. Martin's,Kristin Hannah,None,2013-05-26,FLY AWAY,0,2
1972,HQN,Lori Foster,None,2013-05-19,BARE IT ALL,0,3
1973,Harlequin Mira,Susan Wiggs,None,2013-05-19,THE APPLE ORCHARD,0,3
1974,"Little, Brown",James Patterson,0316097527,2013-05-12,"ALEX CROSS, RUN",0,3
1975,"Little, Brown",Kate Atkinson,0316230804,2013-05-12,LIFE AFTER LIFE,0,3
1976,Emily Bestler/Atria,Jodi Picoult,1439149704,2013-05-12,THE STORYTELLER,0,2
1977,Random House,Elizabeth Strout,0812984617,2013-05-12,THE BURGESS BOYS,0,3
1978,Oak Press,Bella Andre,None,2013-03-24,ALWAYS ON MY MIND,0,4
1979,Random House Publishing,Lara Adrian,0345532619,2013-03-17,EDGE OF DAWN,0,3
1980,Random House Publishing,Debbie Macomber,None,2013-03-17,HEARTSONG,0,1
1981,HarperCollins Publishers,John Irving,0062235184,2013-03-10,THE CIDER HOUSE RULES,0,4
1982,Gallery Books,Christina Lauren,None,2013-03-10,BEAUTIFUL BASTARD,0,2
1983,"Little, Brown & Company",James Patterson and Mark Sullivan,None,2013-03-10,PRIVATE BERLIN,0,2
1984,Crown Publishing,Herman Koch,None,2013-03-10,THE DINNER,0,2
1985,Lisa Renee Jones,Lisa Renee Jones,None,2013-03-10,"TALL, DARK AND DEADLY",0,4
1986,Penguin Group,Robert Crais,None,2013-03-03,SUSPECT,0,1
1987,Crown Publishing,Taylor Stevens,0307717119,2013-03-03,THE INFORMATIONIST,0,2
1988,Random House Publishing,George Saunders,0812993802,2013-03-03,TENTH OF DECEMBER,0,3
1989,Sapphire Star Publishing,A L Jackson,1938404505,2013-03-03,LOST TO YOU,0,3
1990,Gail McHugh,Gail McHugh,None,2013-02-24,COLLIDE,0,1
1991,Oak Press,Lucy Kevin,1938127250,2013-02-24,FOUR WEDDINGS AND A FIASCO BOXED SET,0,7
1992,Simon & Schuster,Isaac Marion,1439192332,2013-02-24,WARM BODIES,0,2
1993,Simon & Schuster,Sister Souljah,1439165343,2013-02-17,A DEEPER LOVE INSIDE,0,4
1994,Jessica Sorensen,Jessica Sorensen,None,2013-02-17,THE COINCIDENCE OF CALLIE AND KAYDEN,0,6
1995,Revell,Lorena McCourtney,1441238220,2013-02-17,DYING TO READ,0,3
1996,Penguin Group,Sylvia Day,None,2013-02-10,REFLECTED IN YOU,0,3
1997,Simon & Schuster,Glenn Beck with Harriet Parke,1476717001,2013-02-03,AGENDA 21,0,2
1998,HarperCollins Publishers,James Rollins and Rebecca Cantrell,0062235753,2013-01-27,THE BLOOD GOSPEL,0,3
1999,Grand Central Publishing,James Patterson and Mark Pearson,1455515531,2013-01-27,PRIVATE LONDON,0,2
2000,Random House Publishing,Janet Evanovich,0345527755,2013-01-20,NOTORIOUS NINETEEN,0,2
2001,Penguin Group,Tom Clancy with Mark Greaney,None,2013-01-20,THREAT VECTOR,0,2
2002,Simon & Schuster,Stephen King,1439168032,2013-01-13,"UNDER THE DOME, PART 1",0,5
2003,Algonquin,Sara Gruen,1565125851,2013-01-13,WATER FOR ELEPHANTS,0,3
2004,FaithWords,Wm Paul Young,145551604X,2013-01-06,CROSS ROADS,0,2
2005,Knopf Doubleday Publishing,Ayana Mathis,0385350287,2013-01-06,THE TWELVE TRIBES OF HATTIE,0,5
2006,Hyperion Press,Mitch Albom,1401322786,2013-01-06,THE TIME KEEPER,0,3
2007,HarperCollins Publishers,Louise Erdrich,0062065246,2012-12-30,THE ROUND HOUSE,0,3
2008,Penguin Group,Jim Butcher,0451464400,2012-12-23,COLD DAYS,0,2
2009,Penguin Group,Ken Follett,0525952926,2012-12-23,WINTER OF THE WORLD,0,4
2010,Penguin Group,Nora Roberts,None,2012-12-23,THE PERFECT HOPE,0,3
2011,Random House Publishing,Kevin Hearne,0345535626,2012-12-16,TRAPPED,0,1
2012,Raine Miller Romance,Raine Miller,None,2012-12-09,NAKED,0,1
2013,Penguin Group,Clive Cussler and Dirk Cussler,None,2012-12-09,POSEIDON'S ARROW,0,2
2014,Grand Central Publishing,Nelson DeMille,1455518379,2012-12-02,THE PANTHER,0,2
2015,Samhain Publishing,Cherrie Lynn,None,2012-12-02,LEAVE ME BREATHLESS,0,3
2016,Random House Publishing,Danielle Steel,None,2012-11-25,THE SINS OF THE MOTHER,0,5
2017,Random House Publishing,David Mitchell,0375507256,2012-11-25,CLOUD ATLAS,0,2
2018,Laurann Dohner,Laurann Dohner,None,2012-11-18,SHADOW,0,1
2019,Cora Carmack,Cora Carmack,None,2012-11-18,LOSING IT,0,2
2020,"Little, Brown & Company",Michael Connelly,0316233684,2012-11-18,THE SAFE MAN,0,3
2021,Random House Publishing,Debbie Macomber,0345535960,2012-11-11,ANGELS AT THE TABLE,0,4
2022,M. Leighton,M Leighton,None,2012-11-11,DOWN TO YOU,0,3
2023,S.H. Kolee,SH Kolee,None,2012-11-04,LOVE LEFT BEHIND,0,3
2024,Penguin Group,Ken Follett,None,2012-10-28,FALL OF GIANTS,0,3
2025,HarperCollins Publishers,Dennis Lehane,0062200291,2012-10-28,LIVE BY NIGHT,0,3
2026,Grand Central Publishing,Sandra Brown,1455501530,2012-10-28,LOW PRESSURE,0,2
2027,Knopf Doubleday Publishing,Jo Nesbo,030796048X,2012-10-28,PHANTOM,0,1
2028,HarperCollins Publishers,Stephanie Laurens,0062066269,2012-10-14,THE LADY RISKS ALL,0,4
2029,Penguin Group,J D Robb,None,2012-10-14,DELUSION IN DEATH,0,3
2030,Random House Publishing,Maya Banks,0345536037,2012-10-14,NEVER SEDUCE A SCOT,0,4
2031,Penguin Group,Stuart Woods,None,2012-10-14,SEVERE CLEAR,0,2
2032,Tom Doherty Associates,David Weber,1429944684,2012-10-07,MIDST TOIL AND TRIBULATION,0,4
2033,Penguin Group,Amor Towles,None,2012-10-07,RULES OF CIVILITY,0,3
2034,Penguin Group,Clive Cussler and Thomas Perry,None,2012-10-07,THE TOMBS,0,2
2035,Entangled Publishing,Katee Robert,None,2012-10-07,"WRONG BED, RIGHT GUY",0,4
2036,Penguin Group,Michael Brandman,None,2012-09-30,ROBERT B. PARKER'S FOOL ME TWICE,0,6
2037,Penguin Group,Beth Kery,None,2012-09-30,BECAUSE YOU ARE MINE PART VII,0,6
2038,Random House Publishing,Tess Gerritsen,0345535952,2012-09-30,LAST TO DIE,0,3
2039,St. Martin's Press,Emily Giffin,1429957867,2012-09-23,WHERE WE BELONG,0,3
2040,Berkley,Nalini Singh,None,2012-09-23,ARCHANGEL'S STORM,0,2
2041,Simon & Schuster,Jamie McGuire,1476712050,2012-09-23,BEAUTIFUL DISASTER,0,2
2042,Kensington Publishing,G A Aiken,1420131001,2012-09-23,HOW TO DRIVE A DRAGON CRAZY,0,6
2043,Berkley,Nalini Singh,None,2012-09-23,ARCHANGEL'S STORM,0,2
